File Path,Type,Size,Quality Score,Issues,Recommendations,Priority,Effort,Action
"docs/archive/DOCUMENTATION-SIMPLIFICATION-PROPOSAL.md","MD",282,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/archive/QUICK_SETUP_CLAUDE.md","MD",214,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/archive/QUICK_SETUP_CLAUDE_FIXED.md","MD",211,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/integration/for-projects/AGENT-PROMPT.md","MD",66,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"docs/guides/workflows/GITHUB_ATTRIBUTION_GUIDE.md","MD",260,"70/100","Missing last_updated date","See issues","High","15 min","UPDATE"
"agents/curator/README.md","MD",434,"70/100","Missing last_updated date; No cross-references to related docs","See issues","High","15 min","UPDATE"
"agents/curator/metadata/PHASE3.md","MD",474,"70/100","Missing last_updated date; No cross-references to related docs","See issues","High","15 min","UPDATE"
"docs/archive/COMPREHENSIVE-TEST-REPORT.md","MD",607,"65/100","Missing last_updated date; File >500 lines but no TOC; No cross-references to related docs; Long file (607 lines)","See issues","High","15 min","UPDATE"
"agents/curator/QUALITY_STANDARDS.md","MD",522,"65/100","Missing last_updated date; File >500 lines but no TOC; No cross-references to related docs; Long file (522 lines)","See issues","High","15 min","UPDATE"
"docs/archive/BOOTSTRAP-GUIDE.md","MD",581,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (581 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/AGENT.md","MD",353,"70/100","No code examples; No cross-references to related docs","See issues","Medium","30 min","EXPAND"
"agents/curator/PROMPTS.md","MD",774,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (774 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/metadata/IMPLEMENTATION.md","MD",1026,"70/100","File >500 lines but no TOC; No cross-references to related docs; Very long file (1026 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/metadata/SKILLS.md","MD",932,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (932 lines)","See issues","Medium","30 min","EXPAND"
"agents/curator/metadata/SUMMARY.md","MD",650,"70/100","File >500 lines but no TOC; No cross-references to related docs; Long file (650 lines)","See issues","Medium","30 min","EXPAND"
".claude/settings.json","JSON",70,"100/100","Good structure","See issues","Low","15 min","KEEP"
"docs/PRD.md","MD",1047,"100/100","Very long file (1047 lines)","See issues","Low","15 min","KEEP"
"docs/integration/for-projects/config-templates/hooks.json","JSON",110,"100/100","Good structure","See issues","Low","15 min","KEEP"
"docs/integration/for-projects/config-templates/kb-config.yaml","YAML",92,"100/100","Good structure","See issues","Low","15 min","KEEP"
"docs/integration/for-projects/config-templates/settings.json","JSON",64,"100/100","Good structure","See issues","Low","15 min","KEEP"
"docs/examples/v5.1/kb-entry-example.yaml","YAML",88,"100/100","Good structure","See issues","Low","15 min","KEEP"
".claude/CLAUDE.md","MD",353,"95/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/integration/BOOTSTRAP.md","MD",137,"95/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/v5.1/FEEDBACK-LOOP.md","MD",527,"95/100","No cross-references to related docs; Long file (527 lines)","See issues","Low","15 min","KEEP"
"docs/integration/for-projects/UPDATE-SHARED-KB.md","MD",220,"95/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/standards/git-workflow.md","MD",265,"90/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/standards/quality-gates.md","MD",348,"90/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/standards/yaml-standards.md","MD",378,"90/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/v5.1/INFORMATION-RETRIEVAL.md","MD",596,"90/100","No cross-references to related docs; Long file (596 lines)","See issues","Low","15 min","KEEP"
"docs/v5.1/SHARED-KB-WORKFLOWS.md","MD",407,"90/100","No cross-references to related docs","See issues","Low","15 min","KEEP"
"docs/v5.1/WORKFLOWS.md","MD",502,"90/100","No cross-references to related docs; Long file (502 lines)","See issues","Low","15 min","KEEP"
"docs/integration/for-projects/command-templates/kb-query.md","MD",391,"90/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/integration/for-projects/command-templates/kb-sync.md","MD",367,"90/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/integration/for-projects/command-templates/retrospective.md","MD",319,"90/100","No major issues","No changes needed","Low","15 min","KEEP"
"docs/archive/SETUP_GUIDE_FOR_CLAUDE.md","MD",705,"85/100","No cross-references to related docs; Long file (705 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/archive/TEST_KB_CURATOR.md","MD",387,"85/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/v5.1/MIGRATION-GUIDE.md","MD",640,"85/100","No cross-references to related docs; Long file (640 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-claude-code/CLAUDE.md","MD",383,"85/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/AGENT-INSTRUCTIONS.md","MD",314,"85/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/START-HERE.md","MD",251,"85/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/VERSION-NOTIFICATION.md","MD",129,"85/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/guides/integration/SUBMODULE_VS_CLONE.md","MD",695,"85/100","Missing last_updated date; No cross-references to related docs; Long file (695 lines)","See issues","Low","15 min","OPTIMIZE"
"agents/curator/DEPLOYMENT.md","MD",375,"85/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/ARD.md","MD",1388,"80/100","No cross-references to related docs; Very long file (1388 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/README.md","MD",229,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/archive/DOCUMENTATION_AUDIT_REPORT.md","MD",443,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/archive/LOCAL-INSTALL-GUIDE.md","MD",339,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/knowledge-base/_index.yaml","YAML",8,"80/100","No comments; Very minimal","See issues","Low","15 min","KEEP"
"docs/v5.1/ARD.md","MD",495,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/v5.1/CONTEXT_SCHEMA.md","MD",559,"80/100","File >500 lines but no TOC; No cross-references to related docs; Long file (559 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/v5.1/README.md","MD",346,"80/100","Missing last_updated date; No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/validation/DOMAIN-INDEX-SCHEMA.md","MD",353,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/v5.1/examples/feedback-loop-scenarios.md","MD",417,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-claude-code/AGENT-QUICK-START.md","MD",414,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-claude-code/KB-UPDATE-QUICK-REFERENCE.md","MD",229,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-claude-code/README.md","MD",503,"80/100","File >500 lines but no TOC; No cross-references to related docs; Long file (503 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/command-templates/kb-create.md","MD",202,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/command-templates/kb-index.md","MD",249,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/command-templates/kb-validate.md","MD",155,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/skill-templates/audit-quality/SKILL.md","MD",340,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/skill-templates/find-duplicates/SKILL.md","MD",353,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/skill-templates/kb-create/SKILL.md","MD",314,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/skill-templates/kb-index/SKILL.md","MD",267,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/skill-templates/kb-search/SKILL.md","MD",121,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/skill-templates/kb-validate/SKILL.md","MD",187,"80/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/skill-templates/research-enhance/SKILL.md","MD",411,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/guides/integration/AGENT_INTEGRATION_GUIDE.md","MD",451,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/guides/workflows/PROJECT_AGENT_TO_CURATOR_MECHANISMS.md","MD",408,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/guides/workflows/ROLE_SEPARATION_GUIDE.md","MD",453,"80/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"agents/curator/SKILLS.md","MD",657,"80/100","File >500 lines but no TOC; No cross-references to related docs; Long file (657 lines)","See issues","Low","15 min","OPTIMIZE"
"agents/curator/WORKFLOWS.md","MD",909,"80/100","File >500 lines but no TOC; No cross-references to related docs; Long file (909 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/archive/CHAT_ANALYSIS_RESULTS.md","MD",294,"75/100","Missing last_updated date","See issues","Low","15 min","OPTIMIZE"
"docs/archive/CLEAN_STRUCTURE_PROPOSAL.md","MD",492,"75/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/archive/ENTERPRISE-KNOWLEDGE-GRAPH.md","MD",927,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (927 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/archive/LABELS_INSTALLED.md","MD",100,"75/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/archive/README_INTEGRATION.md","MD",549,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (549 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/v5.1/MIGRATION-PLAN.md","MD",343,"75/100","Missing last_updated date; No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/v5.1/examples/information-retrieval-examples.md","MD",526,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (526 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-claude-code/AGENT-UPDATE-INSTRUCTIONS.md","MD",592,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (592 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/HOW-TO-GIVE-INSTRUCTIONS.md","MD",255,"75/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/QUICK-REFERENCE.md","MD",166,"75/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/quick-start.md","MD",463,"75/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/README.md","MD",344,"75/100","No cross-references to related docs","See issues","Low","15 min","OPTIMIZE"
"docs/integration/for-projects/command-templates/kb-search.md","MD",107,"75/100","Missing last_updated date","See issues","Low","15 min","OPTIMIZE"
"docs/guides/installation/HARMONIZED-INSTALLATION-GUIDE.md","MD",638,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (638 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/guides/integration/AGENT_AUTOCONFIG_GUIDE.md","MD",617,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (617 lines)","See issues","Low","15 min","OPTIMIZE"
"docs/guides/workflows/PULL_REQUEST_WORKFLOW.md","MD",524,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (524 lines)","See issues","Low","15 min","OPTIMIZE"
"agents/curator/INDEX.md","MD",300,"75/100","No major issues","No changes needed","Low","15 min","OPTIMIZE"
"agents/curator/metadata/ARCHITECTURE.md","MD",640,"75/100","File >500 lines but no TOC; No cross-references to related docs; Long file (640 lines)","See issues","Low","15 min","OPTIMIZE"
".claude/hooks/auto-create-metadata.sh","SH",135,"70/100","Good structure","See issues","Low","15 min","KEEP"
".claude/hooks/auto-format-yaml.sh","SH",50,"70/100","Good structure","See issues","Low","15 min","KEEP"
".claude/hooks/check-index.sh","SH",41,"70/100","Good structure","See issues","Low","15 min","KEEP"
".claude/hooks/quality-gate.sh","SH",87,"70/100","Good structure","See issues","Low","15 min","KEEP"
".claude/hooks/validate-metadata.sh","SH",58,"70/100","Good structure","See issues","Low","15 min","KEEP"
".claude/hooks/validate-yaml-before-edit.sh","SH",47,"70/100","Good structure","See issues","Low","15 min","KEEP"
".claude/hooks/validate-yaml-before-write.sh","SH",57,"70/100","Good structure","See issues","Low","15 min","KEEP"
